average degree,number of nodes,scale,init kmeans modularity,naive kmeans modularity,max modularity,actual cluster size,predicted cluster size
48.578842315369265,501,1000.0,0.019608360793263183,0.21813529906064943,0.23961110301025915,50,2
48.578842315369265,501,2000.0,0.25141102994524867,0.24578389708026352,0.23961110301025915,50,14
48.578842315369265,501,3000.0,0.23918372557420084,0.2331524452437685,0.23961110301025915,50,21
48.578842315369265,501,4000.0,0.22404447348160758,0.1972499989381067,0.23961110301025915,50,29
48.578842315369265,501,5000.0,0.22178159747524256,0.19206951965775815,0.23961110301025915,50,33
48.578842315369265,501,6000.0,0.2157917124122075,0.16616564437125894,0.23961110301025915,50,36
48.578842315369265,501,7000.0,0.21497328813366315,0.19817922477414768,0.23961110301025915,50,39
48.578842315369265,501,8000.0,0.20595650075904937,0.17938311273381163,0.23961110301025915,50,41
48.578842315369265,501,9000.0,0.19000464876281067,0.17537072618934255,0.23961110301025915,50,44
48.578842315369265,501,10000.0,0.19000464876281067,0.17877874858271006,0.23961110301025915,50,44
48.578842315369265,501,11000.0,0.18862393764330385,0.17583222264473605,0.23961110301025915,50,45
48.578842315369265,501,12000.0,0.18609161761299353,0.14039192444916668,0.23961110301025915,50,48
48.578842315369265,501,13000.0,0.18609161761299353,0.16681022203253176,0.23961110301025915,50,48
48.578842315369265,501,14000.0,0.18156239798691784,0.12010127780977788,0.23961110301025915,50,49
48.578842315369265,501,15000.0,0.18156239798691784,0.13971927836555492,0.23961110301025915,50,49
48.578842315369265,501,16000.0,0.18156239798691784,0.11356339166241643,0.23961110301025915,50,49
48.578842315369265,501,17000.0,0.18005086971895745,0.17862827374691673,0.23961110301025915,50,51
48.578842315369265,501,18000.0,0.18005086971895745,0.16188848680856066,0.23961110301025915,50,51
48.578842315369265,501,19000.0,0.18013470020011077,0.1271169754151482,0.23961110301025915,50,52
48.578842315369265,501,20000.0,0.18013470020011077,0.17097999838078998,0.23961110301025915,50,52
48.578842315369265,501,21000.0,0.17833112595714826,0.12118934532277138,0.23961110301025915,50,53
48.578842315369265,501,22000.0,0.17833112595714826,0.16833518181547635,0.23961110301025915,50,53
48.578842315369265,501,23000.0,0.17904572104582878,0.1707669579410105,0.23961110301025915,50,54
48.578842315369265,501,24000.0,0.17765994525249676,0.12297892756017963,0.23961110301025915,50,55
48.578842315369265,501,25000.0,0.17765994525249676,0.1151361720956177,0.23961110301025915,50,55
48.578842315369265,501,26000.0,0.17765994525249676,0.16560853362694572,0.23961110301025915,50,55
48.578842315369265,501,27000.0,0.17765226720697794,0.1069949115087021,0.23961110301025915,50,56
48.578842315369265,501,28000.0,0.17765226720697794,0.16104289561961832,0.23961110301025915,50,56
48.578842315369265,501,29000.0,0.17765226720697794,0.11769128315814098,0.23961110301025915,50,56
50.18473895582329,996,1000.0,0.0,0.0,0.23599875503695117,50,1
50.18473895582329,996,2000.0,0.14043522976648296,0.2526044705944827,0.23599875503695117,50,4
